round,SR,P,Recall,F1,,,
288,0.642361111,0.770627063,0.773178808,0.771900826,,,
289,0.643598616,0.771004942,0.773553719,0.772277228,,,
290,0.644827586,0.771381579,0.773927393,0.772652389,,,
291,0.64604811,0.771756979,0.774299835,0.773026316,,,
292,0.647260274,0.772131148,0.774671053,0.773399015,,,
293,0.648464164,0.772504092,0.775041051,0.773770492,,,
294,0.646258503,0.774557166,0.777059774,0.775806452,,,
295,0.647457627,0.774919614,0.777419355,0.776167472,,,
296,0.648648649,0.775280899,0.777777778,0.776527331,,,
297,0.646464646,0.775671406,0.778129952,0.776898734,,,
298,0.647651007,0.776025237,0.778481013,0.777251185,,,
299,0.64548495,0.775,0.777429467,0.776212833,,,
300,0.643333333,0.755,0.776049767,0.753390607,,,
301,0.644518272,0.773993808,0.776397516,0.775193798,,,
302,0.645695364,0.774343122,0.776744186,0.775541796,,,
303,0.646864686,0.774691358,0.777089783,0.775888717,,,
304,0.648026316,0.775038521,0.777434312,0.776234568,,,
305,0.645901639,0.77693475,0.779299848,0.778115502,,,
306,0.647058824,0.777272727,0.779635258,0.7784522,,,
307,0.64495114,0.776119403,0.778443114,0.777279522,,,
308,0.646103896,0.777117385,0.779433681,0.77827381,,,
309,0.647249191,0.777448071,0.779761905,0.778603269,,,
310,0.64516129,0.776296296,0.778603269,0.777448071,,,
311,0.646302251,0.776627219,0.778931751,0.777777778,,,
312,0.644230769,0.776470588,0.778761062,0.777614138,,,
313,0.645367412,0.776798825,0.779086892,0.777941176,,,
314,0.643312102,0.775659824,0.777941176,0.776798825,,,
315,0.644444444,0.775988287,0.778267254,0.7771261,,,
316,0.64556962,0.776315789,0.778592375,0.777452416,,,
317,0.643533123,0.775182482,0.777452416,0.776315789,,,
318,0.644654088,0.775510204,0.777777778,0.776642336,,,
319,0.645768025,0.775836972,0.77810219,0.77696793,,,
320,0.646875,0.776162791,0.778425656,0.777292576,,,
321,0.644859813,0.775036284,0.777292576,0.776162791,,,
322,0.645962733,0.775362319,0.777616279,0.776487663,,,
323,0.647058824,0.77568741,0.777939042,0.776811594,,,
324,0.645061728,0.776034237,0.778254649,0.777142857,,,
325,0.643076923,0.774928775,0.777142857,0.776034237,,,
326,0.644171779,0.775248933,0.77746077,0.776353276,,,
327,0.642201835,0.775106082,0.777304965,0.776203966,,,
328,0.640243902,0.774011299,0.776203966,0.775106082,,,
329,0.641337386,0.774330042,0.776520509,0.775423729,,,
330,0.639393939,0.773239437,0.775423729,0.774330042,,,
331,0.640483384,0.773558368,0.77574048,0.774647887,,,
332,0.641566265,0.773876404,0.776056338,0.774964838,,,
333,0.63963964,0.772791024,0.774964838,0.773876404,,,
334,0.640718563,0.773109244,0.775280899,0.774193548,,,
335,0.641791045,0.773426573,0.775596073,0.774509804,,,
336,0.642857143,0.773743017,0.775910364,0.774825175,,,
337,0.640949555,0.773925104,0.776077886,0.775,,,
338,0.642011834,0.774238227,0.776388889,0.775312067,,,
339,0.640117994,0.772727273,0.774861878,0.773793103,,,
340,0.641176471,0.77303989,0.775172414,0.774104683,,,
341,0.639296188,0.772913817,0.775034294,0.773972603,,,
342,0.640350877,0.773224044,0.775342466,0.774281806,,,
343,0.638483965,0.772169168,0.774281806,0.773224044,,,
344,0.639534884,0.772479564,0.774590164,0.773533424,,,
345,0.64057971,0.772789116,0.774897681,0.773841962,,,
346,0.641618497,0.773097826,0.77520436,0.77414966,,,
347,0.642651297,0.773405699,0.775510204,0.774456522,,,
348,0.640804598,0.772849462,0.774932615,0.773889637,,,
349,0.641833811,0.773154362,0.775235532,0.774193548,,,
350,0.64,0.770053476,0.772117962,0.771084337,,,
351,0.638176638,0.769333333,0.771390374,0.770360481,,,
352,0.636363636,0.769736842,0.77176781,0.770750988,,,
353,0.637393768,0.770039422,0.772068511,0.771052632,,,
354,0.638418079,0.770341207,0.772368421,0.771353482,,,
355,0.636619718,0.769331586,0.771353482,0.770341207,,,
356,0.637640449,0.769633508,0.771653543,0.770642202,,,
357,0.638655462,0.769934641,0.771952818,0.770942408,,,
358,0.639664804,0.770234987,0.772251309,0.77124183,,,
359,0.640668524,0.77053455,0.77254902,0.77154047,,,
360,0.641666667,0.771131339,0.773142112,0.772135417,,,
361,0.64265928,0.771428571,0.7734375,0.77243173,,,
362,0.643646409,0.771725032,0.77373212,0.772727273,,,
363,0.641873278,0.770806658,0.772785623,0.771794872,,,
364,0.642857143,0.771099744,0.773076923,0.772087068,,,
365,0.64109589,0.770114943,0.772087068,0.771099744,,,
366,0.642076503,0.770408163,0.772378517,0.771392082,,,
367,0.643051771,0.770700637,0.772669221,0.771683673,,,
368,0.641304348,0.770491803,0.772439949,0.771464646,,,
369,0.639566396,0.769521411,0.771464646,0.770491803,,,
370,0.640540541,0.769811321,0.771752837,0.770780856,,,
371,0.638814016,0.768844221,0.770780856,0.769811321,,,
372,0.639784946,0.769134253,0.771069182,0.770100503,,,
373,0.64075067,0.769423559,0.771356784,0.770388959,,,
374,0.64171123,0.76971214,0.771643664,0.770676692,,,
375,0.642666667,0.77,0.771929825,0.770963705,,,
376,0.643617021,0.770287141,0.772215269,0.77125,,,
377,0.644562334,0.770573566,0.7725,0.771535581,,,
378,0.642857143,0.76980198,0.771712159,0.770755886,,,
379,0.643799472,0.770086527,0.771995043,0.771039604,,,
380,0.642105263,0.77045177,0.772337821,0.771393643,,,
381,0.643044619,0.770731707,0.772616137,0.771672772,,,
382,0.641361257,0.769792935,0.771672772,0.770731707,,,
383,0.64229765,0.770072993,0.77195122,0.771010962,,,
384,0.643229167,0.770352369,0.772228989,0.771289538,,,
385,0.641558442,0.77025393,0.772121212,0.771186441,,,
386,0.642487047,0.770531401,0.772397094,0.77146312,,,
387,0.643410853,0.770808203,0.77267231,0.77173913,,,
388,0.644329897,0.771084337,0.77294686,0.772014475,,,
389,0.645244216,0.771359807,0.773220748,0.772289157,,,
390,0.646153846,0.771634615,0.773493976,0.772563177,,,
