round,SR,P,Recall,F1,,
232,0.6120689655172413,0.7411273486430062,0.7334710743801653,0.7372793354101767,,
233,0.6137339055793991,0.7427385892116183,0.7351129363449692,0.73890608875129,,
234,0.6153846153846154,0.7432712215320911,0.735655737704918,0.7394438722966015,,
235,0.6170212765957447,0.743801652892562,0.7361963190184049,0.7399794450154162,,
236,0.6186440677966102,0.7443298969072165,0.736734693877551,0.7405128205128204,,
237,0.6160337552742616,0.742798353909465,0.7352342158859471,0.7389969293756399,,
238,0.6134453781512605,0.7412731006160165,0.733739837398374,0.7374872318692542,,
239,0.6150627615062761,0.7418032786885246,0.7342799188640974,0.7380224260958207,,
240,0.6125,0.7402862985685071,0.7327935222672065,0.7365208545269583,,
241,0.6141078838174274,0.7408163265306122,0.7333333333333333,0.7370558375634518,,
242,0.6157024793388429,0.7413441955193483,0.7338709677419355,0.7375886524822695,,
243,0.6131687242798354,0.7398373983739838,0.7323943661971831,0.7360970677451972,,
244,0.610655737704918,0.7383367139959433,0.7309236947791165,0.7346115035317861,,
245,0.6081632653061224,0.7368421052631579,0.7294589178356713,0.7331319234642497,,
246,0.6056910569105691,0.7353535353535353,0.728,0.7316582914572863,,
247,0.6072874493927125,0.7358870967741935,0.7285429141716567,0.732196589769308,,
248,0.6088709677419355,0.7364185110663984,0.7290836653386454,0.7327327327327328,,
249,0.6104417670682731,0.7369477911646586,0.7296222664015904,0.7332667332667332,,
250,0.608,0.7365269461077845,0.7292490118577075,0.7328699106256206,,
251,0.6095617529880478,0.7370517928286853,0.7297830374753451,0.7333994053518335,,
252,0.6111111111111112,0.7375745526838966,0.7303149606299213,0.7339268051434223,,
253,0.6086956521739131,0.7381889763779528,0.7309941520467836,0.7345739471106758,,
254,0.610236220472441,0.7387033398821218,0.7315175097276264,0.7350928641251221,,
255,0.611764705882353,0.7392156862745098,0.7320388349514563,0.735609756097561,,
256,0.61328125,0.7397260273972602,0.7325581395348837,0.7361246348588121,,
257,0.6147859922178989,0.740234375,0.7330754352030948,0.7366375121477163,,
258,0.6162790697674418,0.7407407407407407,0.7335907335907336,0.737148399612027,,
259,0.6177606177606177,0.7412451361867705,0.7341040462427746,0.7376573088092934,,
260,0.6153846153846154,0.7398058252427184,0.7326923076923076,0.736231884057971,,
261,0.6168582375478927,0.7403100775193798,0.7332053742802304,0.7367405978784957,,
262,0.6183206106870229,0.7408123791102514,0.7337164750957854,0.737247353224254,,
263,0.6197718631178707,0.7413127413127413,0.734225621414914,0.7377521613832853,,
264,0.6212121212121212,0.7418111753371869,0.7347328244274809,0.7382550335570469,,
265,0.6226415094339622,0.7423076923076923,0.7352380952380952,0.738755980861244,,
266,0.6203007518796992,0.7408829174664108,0.7338403041825095,0.737344794651385,,
267,0.6217228464419475,0.7413793103448276,0.7343453510436433,0.7378455672068637,,
268,0.6231343283582089,0.7418738049713193,0.7348484848484849,0.7383444338725023,,
269,0.6245353159851301,0.7423664122137404,0.7353497164461248,0.7388414055080721,,
270,0.6259259259259259,0.7428571428571429,0.7358490566037735,0.7393364928909951,,
271,0.6236162361623616,0.7429111531190926,0.7359550561797753,0.7394167450611477,,
272,0.625,0.7433962264150943,0.7364485981308411,0.739906103286385,,
273,0.6263736263736264,0.743879472693032,0.7369402985074627,0.7403936269915652,,
274,0.6277372262773723,0.7443609022556391,0.7374301675977654,0.7408793264733395,,
275,0.6254545454545455,0.7429643527204502,0.7360594795539034,0.7394957983193278,,
276,0.6268115942028986,0.7434456928838952,0.7365491651205937,0.7399813606710158,,
277,0.628158844765343,0.74487895716946,0.7380073800738007,0.7414272474513439,,
278,0.6258992805755396,0.7454212454212454,0.7386569872958257,0.7420237010027346,,
