round,SR,P,Recall,F1,,
235,0.5957446808510638,0.7899159663865546,0.39166666666666666,0.5236768802228412,,
236,0.5932203389830508,0.7866108786610879,0.3908523908523909,0.5222222222222223,,
237,0.5949367088607594,0.7875,0.3921161825726141,0.5235457063711911,,
238,0.5966386554621849,0.7883817427385892,0.39337474120082816,0.5248618784530386,,
239,0.5941422594142259,0.7851239669421488,0.3925619834710744,0.5234159779614326,,
240,0.5958333333333333,0.7860082304526749,0.3938144329896907,0.5247252747252746,,
241,0.5975103734439834,0.7868852459016393,0.3950617283950617,0.5260273972602739,,
242,0.5991735537190083,0.7877551020408163,0.39630390143737165,0.5273224043715847,,
243,0.5967078189300411,0.7886178861788617,0.39591836734693875,0.5271739130434783,,
244,0.5983606557377049,0.7894736842105263,0.3971486761710794,0.5284552845528455,,
245,0.6,0.7903225806451613,0.3983739837398374,0.5297297297297296,,
246,0.5975609756097561,0.7911646586345381,0.3963782696177062,0.5281501340482574,,
247,0.5991902834008097,0.792,0.39759036144578314,0.5294117647058824,,
248,0.5967741935483871,0.7888446215139442,0.3967935871743487,0.528,,
249,0.5983935742971888,0.7896825396825397,0.398,0.5292553191489362,,
250,0.6,0.7905138339920948,0.3992015968063872,0.5305039787798409,,
251,0.601593625498008,0.7913385826771654,0.40039840637450197,0.5317460317460317,,
252,0.6031746031746031,0.792156862745098,0.40159045725646125,0.532981530343008,,
253,0.6007905138339921,0.7890625,0.4007936507936508,0.5315789473684212,,
254,0.6023622047244095,0.7898832684824902,0.401980198019802,0.5328083989501312,,
255,0.6039215686274509,0.7906976744186046,0.4031620553359684,0.5340314136125655,,
256,0.60546875,0.7915057915057915,0.40433925049309666,0.5352480417754569,,
257,0.6070038910505836,0.7923076923076923,0.40551181102362205,0.5364583333333333,,
258,0.6085271317829457,0.7931034482758621,0.4066797642436149,0.5376623376623376,,
259,0.6061776061776062,0.7900763358778626,0.40588235294117647,0.5362694300518134,,
260,0.6076923076923076,0.7908745247148289,0.4070450097847358,0.5374677002583979,,
261,0.6091954022988506,0.7916666666666666,0.408203125,0.538659793814433,,
262,0.6106870229007634,0.7924528301886793,0.4093567251461988,0.5398457583547558,,
263,0.6121673003802282,0.793233082706767,0.41050583657587547,0.541025641025641,,
264,0.6098484848484849,0.7940074906367042,0.4092664092664093,0.540127388535032,,
265,0.6113207547169811,0.7947761194029851,0.41040462427745666,0.5412960609911054,,
266,0.6127819548872181,0.7955390334572491,0.4115384615384615,0.5424588086185045,,
267,0.6142322097378277,0.7962962962962963,0.4126679462571977,0.5436156763590392,,
268,0.6119402985074627,0.7933579335793358,0.4118773946360153,0.5422446406052963,,
269,0.6133828996282528,0.7941176470588235,0.4130019120458891,0.5433962264150943,,
270,0.6111111111111112,0.7948717948717948,0.41254752851711024,0.5431789737171464,,
271,0.6088560885608856,0.7956204379562044,0.4074766355140187,0.5389369592089,,
272,0.6102941176470589,0.7963636363636364,0.4085820895522388,0.5400739827373613,,
273,0.6117216117216118,0.7971014492753623,0.409683426443203,0.5412054120541205,,
274,0.6094890510948905,0.7978339350180506,0.40476190476190477,0.5370595382746051,,
275,0.610909090909091,0.7985611510791367,0.40585009140767825,0.5381818181818182,,
276,0.6086956521739131,0.7992831541218638,0.40325497287522605,0.5360576923076923,,
277,0.6064981949458483,0.8,0.398576512455516,0.5320665083135392,,
278,0.6079136690647482,0.800711743772242,0.3996447602131439,0.533175355450237,,
279,0.6057347670250897,0.7978723404255319,0.39893617021276595,0.5319148936170214,,
280,0.6035714285714285,0.7985865724381626,0.3992932862190813,0.5323910482921084,,
281,0.6014234875444839,0.795774647887324,0.3985890652557319,0.5311398354876616,,
282,0.599290780141844,0.7964912280701755,0.3961605584642234,0.5291375291375291,,
283,0.6007067137809188,0.7972027972027972,0.397212543554007,0.530232558139535,,
284,0.602112676056338,0.7979094076655052,0.3982608695652174,0.531322505800464,,
285,0.6035087719298246,0.7986111111111112,0.3993055555555556,0.5324074074074074,,
286,0.6048951048951049,0.7993079584775087,0.4003466204506066,0.5334872979214781,,
